"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"TRA","TRA-RW","53.05774722","30.11208333","KH","KH-BW","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","KH","KH-RB","52.06511333","29.88179778","0.857142857142857","0.142857142857143"
"TRA","TRA-RW","53.05774722","30.11208333","MS10","MS10-CW","51.32983333","30.35716667","0.625","0.375"
"TRA","TRA-RW","53.05774722","30.11208333","MS11","MS11-CW","51.33366667","30.35426667","0.625","0.375"
"TRA","TRA-RW","53.05774722","30.11208333","MS20","MS20-CW","51.33611667","30.353","0.714285714285714","0.285714285714286"
"TRA","TRA-RW","53.05774722","30.11208333","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.75","0.25"
"TRA","TRA-RW","53.05774722","30.11208333","TK1","TK1-JW","52.50527778","29.58277778","0.714285714285714","0.285714285714286"
"TRA","TRA-RW","53.05774722","30.11208333","TK1","TK1-KW","52.50527778","29.58277778","0.875","0.125"
"TRA","TRA-RW","53.05774722","30.11208333","TK1","TK1-MW","52.50527778","29.58277778","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","TM1","TM1-BIS","52.96494722","29.81067222","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","TM1","TM1-BUS","52.96494722","29.81067222","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","TM1","TM1-PRS","52.96494722","29.81067222","0.571428571428572","0.428571428571428"
"TRA","TRA-RW","53.05774722","30.11208333","TK2","TK-PA","52.44198611","29.91753611","0.4","0.6"
"TRA","TRA-RW","53.05774722","30.11208333","TRA","TRA-FM","53.05774722","30.11208333","0.75","0.25"
"TB2","TB2-BB","52.59","30.08","AR","AR-SW","53.40545556","29.86275833","0","1"
"TB2","TB2-BB","52.59","30.08","H","H-PA","53.51537389","30.50747583","0.75","0.25"
"TB2","TB2-BB","52.59","30.08","KH","KH-BB","52.06511333","29.88179778","0","1"
"TB2","TB2-BB","52.59","30.08","KH","KH-BBR","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TB2","TB2-BB","52.59","30.08","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"TB2","TB2-BB","52.59","30.08","KH","KH-BW","52.06511333","29.88179778","0","1"
"TB2","TB2-BB","52.59","30.08","KH","KH-RB","52.06511333","29.88179778","0.4","0.6"
"TB2","TB2-BB","52.59","30.08","MS10","MS10-CW","51.32983333","30.35716667","0.625","0.375"
"TB2","TB2-BB","52.59","30.08","MS11","MS11-CW","51.33366667","30.35426667","0.625","0.375"
"TB2","TB2-BB","52.59","30.08","MS20","MS20-CW","51.33611667","30.353","0.2","0.8"
"TB2","TB2-BB","52.59","30.08","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.333333333333333","0.666666666666667"
"TB2","TB2-BB","52.59","30.08","TK1","TK1-JW","52.50527778","29.58277778","0.2","0.8"
"TB2","TB2-BB","52.59","30.08","TK1","TK1-KW","52.50527778","29.58277778","0.5","0.5"
"TB2","TB2-BB","52.59","30.08","TK1","TK1-MW","52.50527778","29.58277778","0.666666666666667","0.333333333333333"
"TB2","TB2-BB","52.59","30.08","TM1","TM1-BIS","52.96494722","29.81067222","0.5","0.5"
"TB2","TB2-BB","52.59","30.08","TM1","TM1-BUS","52.96494722","29.81067222","0","1"
